                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.69767,                 1.1608,                0.77563,                0.98773,                0.69047,                0.23258,                0.29028,                 0.1569,                0.74099,                0.23128,                0.27789,                0.11787,                 1.5016,                 3.8698,                 2.1351,                 1.4982,             0.00041649,             0.00041649,             0.00041649
                     24,                0.73059,                 1.3785,                0.79113,                0.96867,                0.71816,                 0.2458,                0.29071,                0.15921,                0.73641,                 0.2495,                0.28216,                0.12571,                 1.5527,                 3.9412,                 2.2372,                 1.5336,             0.00043179,             0.00043179,             0.00043179
                     25,                0.73093,                 1.2741,                 0.8313,                0.99197,                0.72717,                0.23898,                0.29167,                0.15737,                0.71925,                0.23398,                0.27221,                0.11384,                 1.5533,                 4.3177,                 2.3935,                 1.5167,             0.00044689,             0.00044689,             0.00044689
                     26,                0.72035,                 1.2909,                0.75684,                 0.9647,                0.68932,                0.25645,                0.30466,                0.16576,                0.68559,                0.24645,                0.27724,                0.13751,                 1.4997,                 4.3105,                 2.3097,                 1.4827,             0.00046179,             0.00046179,             0.00046179
                     27,                0.70177,                 1.1344,                0.75179,                0.97563,                0.68932,                0.25645,                0.30466,                0.16576,                0.68559,                0.24645,                0.27724,                0.13751,                 1.4997,                 4.3105,                 2.3097,                 1.4827,             0.00047649,             0.00047649,             0.00047649
                     28,                0.71146,                 1.2562,                0.73999,                 0.9878,                0.33937,                0.29644,                 0.2937,                0.15688,                0.49548,                0.22698,                0.26485,                0.12821,                 1.5742,                 4.3291,                 2.1834,                 1.5385,               0.000491,               0.000491,               0.000491
                     29,                0.70686,                 1.2896,                0.79222,                0.99301,                0.36022,                0.25592,                0.24166,                0.14086,                0.38134,                0.26456,                0.24382,                0.11748,                 1.6101,                 4.5621,                 2.4715,                 1.5071,             0.00050531,             0.00050531,             0.00050531
                     30,                 0.7174,                 1.3338,                0.70636,                0.96219,                0.36022,                0.25592,                0.24166,                0.14086,                0.38134,                0.26456,                0.24382,                0.11748,                 1.6101,                 4.5621,                 2.4715,                 1.5071,             0.00051942,             0.00051942,             0.00051942
                     31,                0.68826,                 1.3016,                0.72326,                0.96416,                0.44322,                0.22667,                0.25582,                0.15329,                0.46059,                0.23536,                0.23926,                0.12929,                 1.5949,                 4.4389,                 2.6564,                 1.4659,             0.00053333,             0.00053333,             0.00053333
                     32,                0.70636,                 1.2385,                0.73295,                0.99742,                 0.2861,                 0.2307,                0.19497,                0.12596,                0.29849,                 0.2394,                0.19266,                0.10866,                 1.6423,                 4.0748,                 2.6418,                 1.4756,             0.00054704,             0.00054704,             0.00054704
                     33,                0.71354,                 1.2894,                0.73531,                 1.0009,                 0.2861,                 0.2307,                0.19497,                0.12596,                0.29849,                 0.2394,                0.19266,                0.10866,                 1.6423,                 4.0748,                 2.6418,                 1.4756,             0.00056056,             0.00056056,             0.00056056
                     34,                0.64194,                 1.1496,                 0.6814,                0.96422,                0.24369,                0.27662,                0.19335,                0.12893,                  0.234,                0.24192,                0.17854,                0.10283,                 1.5966,                 3.9718,                 2.6131,                 1.4545,             0.00057387,             0.00057387,             0.00057387
                     35,                0.66027,                 1.1608,                0.73547,                0.95899,                0.24015,                0.29149,                0.19001,                0.12031,                0.21719,                0.24494,                0.16619,                0.09772,                 1.6003,                 4.2304,                 2.6161,                 1.4883,             0.00058699,             0.00058699,             0.00058699
                     36,                 0.6735,                 1.2049,                0.72149,                0.94886,                0.24015,                0.29149,                0.19001,                0.12031,                0.21719,                0.24494,                0.16619,                0.09772,                 1.6003,                 4.2304,                 2.6161,                 1.4883,             0.00059991,             0.00059991,             0.00059991
                     37,                 0.7219,                 1.2586,                0.72639,                0.96548,                0.56659,                0.23566,                 0.2356,                0.12211,                0.49787,                0.19053,                0.16284,                0.08821,                 1.6084,                 4.7325,                 2.4334,                 1.5225,             0.00061264,             0.00061264,             0.00061264
